phone_product_id,accessory_product_id
1,74
2,74
3,74
4,74
5,74
6,74
7,74
8,74
9,74
10,73
10,74
11,73
11,74
12,73
12,74
13,73
13,74
14,73
14,74
15,73
15,74
16,73
16,74
17,73
17,74
18,73
18,74
19,73
19,74
20,73
20,74
21,73
21,74
22,73
22,74
23,73
23,74
24,73
24,74
25,73
25,74
26,73
26,74
27,73
27,74
28,73
28,74
29,73
29,74
30,73
30,74
31,73
31,74
32,73
32,74
33,73
33,74
34,73
34,74
35,73
35,74
36,73
36,74
37,73
37,74
38,73
38,74
39,73
39,74
40,73
40,74
41,73
41,74
42,73
42,74
43,73
43,74
44,73
44,74
45,73
45,74
46,73
46,74
47,73
47,74
48,73
48,74
49,73
49,74
50,73
50,75
51,73
51,75
52,73
52,75
53,73
53,75
54,73
54,75
55,73
55,75
56,73
56,75
57,73
57,75
58,73
58,75
59,73
59,75
60,73
60,75
61,73
61,75
62,73
62,75
63,73
63,75
64,73
64,75
65,73
65,75
66,73
66,75
67,73
67,75
68,73
68,75
69,73
69,75
70,73
70,75
71,73
71,75
